Location_ID,Country,Sim_location,Weather_file,Ashrae Climate Zone,NBC Climate,Same_City_Weather_file,,
L100,United States of America,Point Hope,AK_Point_Hope_(AWOS),Very Hot Humid,,,,
L101,United States of America,Port Heiden,AK_Port_Heiden,Very Hot Humid,,,,
L102,United States of America,Saint Mary,AK_Saint_Mary%60S_(AWOS),Very Hot Humid,,,,
L103,United States of America,Sand Point,AK_Sand_Point,Very Hot Humid,,,,
L104,United States of America,Savoonga,AK_Savoonga,Very Hot Humid,,,,
L105,United States of America,Selawik,AK_Selawik,Very Hot Humid,,,,
L106,United States of America,Seward,AK_Seward,Very Hot Humid,,,,
L107,United States of America,Shemya,AK_Shemya_AFB,Very Hot Humid,,,,
L108,United States of America,Shishmaref,AK_Shishmaref_(AWOS),Very Hot Humid,,,,
L109,United States of America,Sitka,AK_Sitka_Japonski_AP,Very Hot Humid,,,,
L110,United States of America,Skagway,AK_Skagway_Airport,Very Hot Humid,,,,
L111,United States of America,Sleetmute,AK_Sleetmute,Very Hot Humid,,,,
L112,United States of America,Soldotna,AK_Soldotna,Very Hot Humid,,,,
L113,United States of America,St Paul Island,AK_St_Paul_Island_Arpt,Very Hot Humid,,,,
L114,United States of America,Talkeetna,AK_Talkeetna_State_Arpt,Very Hot Humid,,,,
L115,United States of America,Tanana,AK_Tanana_Ralph_M_Calhoun,Very Hot Humid,,,,
L116,United States of America,Togiak,AK_Togiac_Village_AWOS,Very Hot Humid,,,,
L117,United States of America,Unalakleet,AK_Unalakleet_Field,Very Hot Humid,,,,
L119,United States of America,Valdez,AK_Valdez_Wso,Very Hot Humid,,AK_Valdez_Pioneer_Field,,
L120,United States of America,Whittier,AK_Whittier,Very Hot Humid,,,,
L121,United States of America,Wrangell,AK_Wrangell,Very Hot Humid,,,,
L122,United States of America,Yakutat,AK_Yakutat_State_Arpt,Very Hot Humid,,,,
L123,United States of America,Anniston,AL_Anniston_Metropolitan,Very Hot Humid,,,,
L124,United States of America,Auburn,AL_Auburn-Opelika_Apt,Very Hot Humid,,,,
L125,United States of America,Birmingham,AL_Birmingham_Municipal_A,Very Hot Humid,,,,
L126,United States of America,Fort Rucker,AL_Cairns_Field_Fort_Ruck,Very Hot Humid,,,,
L127,United States of America,Dothan,AL_Dothan_Municipal_AP,Very Hot Humid,,,,
L128,United States of America,Gadsen,AL_Gadsen_Muni_(AWOS),Very Hot Humid,,,,
L129,United States of America,Huntsville,AL_Huntsville_Intl_Jones,Very Hot Humid,,,,
L130,United States of America,Montgomery,AL_Maxwell_AFB,Very Hot Humid,,,,
L131,United States of America,Mobile,AL_Mobile_Downtown_AP,Very Hot Humid,,,,
L132,United States of America,Mobile,AL_Mobile_Regional_AP,Very Hot Humid,,,,
L133,United States of America,Montgomery,AL_Montgomery_Dannelly_Fi,Very Hot Humid,,,,
L134,United States of America,Muscle Shoals,AL_Muscle_Shoals_Regional,Very Hot Humid,,,,
L135,United States of America,Troy,AL_Troy_Af,Very Hot Humid,,,,
L136,United States of America,Tuscaloosa,AL_Tuscaloosa_Municipal_A,Very Hot Humid,,,,
L137,United States of America,Batesville,AR_Batesville_(AWOS),Very Hot Humid,,,,
L138,United States of America,Bentonville,AR_Bentonville_(AWOS),Very Hot Humid,,,,
L139,United States of America,El Dorado,AR_El_Dorado_Goodwin_Fiel,Very Hot Humid,,,,
L140,United States of America,Fayetteville,AR_Fayetteville_Drake_Fie,Very Hot Humid,,,,
L141,United States of America,Flippin,AR_Flippin_(AWOS),Very Hot Humid,,,,
L142,United States of America,Fort Smith,AR_Fort_Smith_Regional_Ap,Very Hot Humid,,,,
L143,United States of America,Harrison,AR_Harrison_Faa_AP,Very Hot Humid,,,,
L144,United States of America,Jonesboro,AR_Jonesboro_Muni,Very Hot Humid,,,,
L146,United States of America,Little Rock,AR_Little_Rock_Adams_Fiel,Very Hot Humid,,AR_Little_Rock_AFB,,
L147,United States of America,Hot Springs,AR_Memorial_Fld,Very Hot Humid,,,,
L148,United States of America,Pine Bluff,AR_Pine_Bluff_Faa_AP,Very Hot Humid,,,,
L149,United States of America,Rogers,AR_Rogers_(AWOS),Very Hot Humid,,,,
L150,United States of America,Siloam Spring,AR_Siloam_Spring(AWOS),Very Hot Humid,,,,
L151,United States of America,Springdale,AR_Springdale_Muni,Very Hot Humid,,,,
L152,United States of America,Stuttgart,AR_Stuttgart_(AWOS),Very Hot Humid,,,,
L153,United States of America,Texarkana,AR_Texarkana_Webb_Field,Very Hot Humid,,,,
L154,United States of America,Walnut Ridge,AR_Walnut_Ridge_(AWOS),Very Hot Humid,,,,
L155,United States of America,Casa Granda,AZ_Casa_Granda_(AWOS),Very Hot Humid,,,,
L156,United States of America,Tucson,AZ_Davis_Monthan_AFB,Very Hot Humid,,,,
L157,United States of America,Phoenix,AZ_Deer_Valley_Phoenix,Very Hot Humid,,,,
L158,United States of America,Douglas,AZ_Douglas_Bisbee-Douglas,Very Hot Humid,,,,
L159,United States of America,Flagstaff,AZ_Flagstaff_Pulliam_Arpt,Very Hot Humid,,,,
L160,United States of America,Grand Canyon,AZ_Grand_Canyon_Natl_P,Very Hot Humid,,,,
L161,United States of America,Kingman,AZ_Kingman_(AMOS),Very Hot Humid,,,,
L162,United States of America,Luke AFB,AZ_Luke_AFB,Very Hot Humid,,,,
L163,United States of America,Page Muni ,AZ_Page_Muni_(AMOS),Very Hot Humid,,,,
L164,United States of America,Phoenix,AZ_Phoenix_Sky_Harbor_Int,Very Hot Humid,,,,
L165,United States of America,Prescott ,AZ_Prescott_Love_Field,Very Hot Humid,,,,
L166,United States of America,Safford,AZ_Safford_(AMOS),Very Hot Humid,,,,
L167,United States of America,Scottsdale ,AZ_Scottsdale_Muni,Very Hot Humid,,,,
L168,United States of America,Show Low,AZ_Show_Low_Municipal,Very Hot Humid,,,,
L169,United States of America,Tucson,AZ_Tucson_International_A,Very Hot Humid,,,,
L170,United States of America,Winslow,AZ_Winslow_Municipal_AP,Very Hot Humid,,,,
L171,United States of America,Yuma,AZ_Yuma_Intl_Arpt,Very Hot Humid,,AZ_Yuma_MCAS,,
L173,United States of America,Alturas,CA_Alturas,Very Hot Humid,,,,
L174,United States of America,Arcata,CA_Arcata_Airport,Very Hot Humid,,,,
L175,United States of America,Bakersfield,CA_Bakersfield_Meadows_Fi,Very Hot Humid,,,,
L176,United States of America,Beale,CA_Beale_AFB,Very Hot Humid,,,,
L177,United States of America,Bishop,CA_Bishop_Airport,Very Hot Humid,,,,
L178,United States of America,Blue Canyon,CA_Blue_Canyon_AP,Very Hot Humid,,,,
L179,United States of America,Blythe,CA_Blythe_Riverside_Co_Ar,Very Hot Humid,,,,
L180,United States of America,Burbank,CA_Burbank-Glendale-Passa,Very Hot Humid,,,,
L181,United States of America,Camarillo,CA_Camarillo_(AWOS),Very Hot Humid,,,,
L182,United States of America,Camp Pendleton,CA_Camp_Pendleton_MCAS,Very Hot Humid,,,,
L183,United States of America,Carlsbad Palomar,CA_Carlsbad_Palomar,Very Hot Humid,,,,
L184,United States of America,China Lake,CA_China_Lake_NAF,Very Hot Humid,,,,
L185,United States of America,Chino,CA_Chino_Airport,Very Hot Humid,,,,
L186,United States of America,San Diego,CA_Chula_Vista_Brown_Fiel,Very Hot Humid,,,,
L187,United States of America,Concord,CA_Concord_Concord-Buchan,Very Hot Humid,,,,
L188,United States of America,Crescent City,CA_Crescent_City_Faa_Ai,Very Hot Humid,,,,
L189,United States of America,Barstow,CA_Daggett_Barstow,Very Hot Humid,,,,
L190,United States of America,Edwards AFB,CA_Edwards_AFB,Very Hot Humid,,,,
L191,United States of America,Fresno,CA_Fresno_Yosemite_Intl_A,Very Hot Humid,,,,
L192,United States of America,Fullerton,CA_Fullerton_Municipal,Very Hot Humid,,,,
L193,United States of America,Hayward,CA_Hayward_Air_Term,Very Hot Humid,,,,
L194,United States of America,Imperial,CA_Imperial,Very Hot Humid,,,,
L195,United States of America,Hawthorne,CA_Jack_Northrop_Fld_H,Very Hot Humid,,,,
L196,United States of America,Lancaster,CA_Lancaster_Gen_Wm_Fox_F,Very Hot Humid,,,,
L197,United States of America,Lemoore,CA_Lemoore_Reeves_NAS,Very Hot Humid,,,,
L198,United States of America,Livermore,CA_Livermore_Municipal,Very Hot Humid,,,,
L199,United States of America,Lompoc,CA_Lompoc_(AWOS),Very Hot Humid,,,,
L200,United States of America,Long Beach,CA_Long_Beach_Daugherty_F,Very Hot Humid,,,,
L201,United States of America,Los Angeles,CA_Los_Angeles_Intl_Arpt,Very Hot Humid,,,,
L202,United States of America,March AFB,CA_March_AFB,Very Hot Humid,,,,
L203,United States of America,Merced,CA_Merced_MacReady_Fld,Very Hot Humid,,,,
L204,United States of America,Modesto,CA_Modesto_City-County_Ap,Very Hot Humid,,,,
L205,United States of America,Montague,CA_Montague_Siskiyou_Coun,Very Hot Humid,,,,
L206,United States of America,Monterey,CA_Monterey_NAF,Very Hot Humid,,,,
L207,United States of America,Mountain View,CA_Mountain_View_Moffett,Very Hot Humid,,,,
