Polygon,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,Total Vertices
3T_3Space Polygon 21,"(0.0, 0.0)","(60.45, 0.0)","(60.45, 19.85)","(73.1, 19.85)","(73.1, 36.1)","(89.35, 36.1)","(89.35, 82.55)","(73.1, 82.55)","(73.1, 98.8)","(60.45, 98.8)","(60.45, 118.65)","(0.0, 118.65)","(0.0, 81.8)","(23.3, 81.8)","(23.3, 74.6)","(43.0, 74.6)","(43.0, 44.05)","(23.3, 44.05)","(23.3, 37.5)","(0.0, 37.5)",,,,,,,,,,,,,,,20
3T_3Space Polygon 22,"(0.0, 0.0)","(94.25, 0.0)","(94.25, 37.5)","(28.8, 37.5)","(28.8, 81.15)","(60.3, 81.15)","(60.3, 77.35)","(61.45, 76.55)","(94.25, 76.55)","(94.25, 81.8)","(94.25, 118.65)","(0.0, 118.65)","(0.0, 98.8)","(-12.65, 98.8)","(-12.65, 82.55)","(-28.85, 82.55)","(-28.85, 78.5)","(-24.65, 78.5)","(-24.65, 40.15)","(-28.85, 40.15)","(-28.85, 36.1)","(-12.65, 36.1)","(-12.65, 19.85)","(0.0, 19.85)",,,,,,,,,,,24
6R_3Floor Polygon,"(280.35, 261.15)","(465.05, 261.15)","(465.05, 281.0)","(477.7, 281.0)","(477.7, 297.25)","(493.95, 297.25)","(493.95, 373.7)","(477.7, 373.7)","(477.7, 389.95)","(465.05, 389.95)","(465.05, 409.8)","(280.35, 409.8)","(280.35, 389.95)","(281.5, 389.95)","(281.5, 370.55)","(294.15, 370.55)","(294.15, 334.15)","(270.7, 334.15)","(270.7, 354.65)","(251.5, 354.65)","(251.5, 316.3)","(270.7, 316.3)","(270.7, 321.7)","(294.15, 321.7)","(294.15, 300.35)","(281.5, 300.4)","(281.5, 281.0)","(280.35, 281.0)",,,,,,,28
6R_3Space Polygon 1,"(0.0, 0.0)","(184.7, 0.0)","(169.7, 15.0)","(11.07, 9.93)","(9.92, 9.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
6R_3Space Polygon 2,"(0.0, 0.0)","(19.85, 0.0)","(19.85, -12.65)","(36.1, -12.65)","(36.1, -28.9)","(51.1, -13.9)","(51.1, 2.35)","(34.85, 2.35)","(34.85, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,10
6R_3Space Polygon 3,"(0.0, 0.0)","(76.45, 0.0)","(61.45, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_3Space Polygon 4,"(0.0, 0.0)","(16.25, 0.0)","(16.25, -16.25)","(28.9, -16.25)","(28.9, -36.1)","(43.9, -21.1)","(43.9, -1.25)","(31.25, -1.25)","(31.25, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,10
6R_3Space Polygon 5,"(0.0, 0.0)","(184.7, 0.0)","(174.78, 9.93)","(173.63, 9.93)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
6R_3Space Polygon 6,"(0.0, 0.0)","(19.85, 0.0)","(19.85, 1.15)","(39.25, 1.15)","(39.25, 13.8)","(24.25, 28.8)","(24.25, 16.15)","(9.92, 11.07)","(9.92, 9.92)",,,,,,,,,,,,,,,,,,,,,,,,,,9
6R_3Space Polygon 7,"(0.0, 0.0)","(36.4, 0.0)","(42.63, 6.23)","(42.63, 15.0)","(-15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
6R_3Space Polygon 8,"(0.0, 0.0)","(21.35, 0.0)","(36.41, 15.0)","(36.4, 15.0)","(-6.22, 15.0)","(-6.22, 6.23)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
6R_3Space Polygon 9,"(0.0, 0.0)","(12.65, 0.0)","(12.57, 19.4)","(13.72, 19.4)","(13.64, 39.25)","(3.76, 29.29)","(2.61, 29.29)","(-2.41, 15.0)","(-15.06, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,9
6R_3Space Polygon 10,"(0.0, 0.0)","(19.7, 0.0)","(19.7, 30.55)","(0.0, 30.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_3Space Polygon 11,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 44.3)","(0.0, 44.3)","(0.0, 19.2)","(-5.25, 19.2)","(-5.6, 19.2)","(-5.6, 11.35)","(0.0, 11.35)",,,,,,,,,,,,,,,,,,,,,,,,,,9
6R_3Space Polygon 12,"(0.0, 0.0)","(5.25, 0.0)","(5.25, 18.55)","(0.0, 18.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_3Space Polygon 13,"(0.0, 0.0)","(11.5, 0.0)","(11.5, 18.55)","(16.75, 18.55)","(16.75, 25.1)","(0.0, 25.1)","(0.0, 19.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
6R_3Space Polygon 14,"(0.0, 0.0)","(11.15, 0.0)","(11.15, 7.85)","(0.0, 7.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_3Space Polygon 15,"(0.0, 0.0)","(16.75, 0.0)","(16.75, 11.35)","(0.0, 11.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_3Space Polygon 16,"(0.0, 0.0)","(32.8, 0.0)","(32.8, 44.3)","(32.8, 39.05)","(0.0, 39.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
6R_3Space Polygon 17,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_3Space Polygon 18,"(0.0, 0.0)","(11.8, 0.0)","(11.8, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_3Space Polygon 19,"(0.0, 0.0)","(11.0, 0.0)","(11.0, 39.05)","(9.85, 39.85)","(9.85, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
6R_3Space Polygon 20,"(0.0, 0.0)","(19.2, 0.0)","(19.2, 5.4)","(0.0, 5.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6R_3Space Polygon 21,"(0.0, 0.0)","(19.2, 0.0)","(19.2, 5.4)","(2.65, 5.4)","(2.65, 25.1)","(0.7, 25.1)","(0.7, 26.7)","(0.0, 26.7)","(0.0, 20.5)",,,,,,,,,,,,,,,,,,,,,,,,,,9
6R_3Space Polygon 22,"(0.0, 0.0)","(6.25, 0.0)","(6.25, 0.7)","(7.85, 0.7)","(7.85, 2.65)","(27.55, 2.65)","(27.55, 19.2)","(0.0, 19.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
6R_3Space Polygon 23,"(0.0, 0.0)","(23.45, 0.0)","(29.7, 6.2)","(29.67, 6.22)","(23.45, 12.45)","(0.0, 12.45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
6R_3Space Polygon 24,"(0.0, 0.0)","(23.3, 0.0)","(23.3, -7.2)","(43.0, -7.2)","(43.0, -37.75)","(23.3, -37.75)","(23.3, -44.3)","(0.0, -44.3)","(0.0, -83.75)","(60.45, -81.8)","(60.45, -61.95)","(73.1, -61.95)","(73.1, -45.7)","(89.35, -45.7)","(89.35, 0.75)","(73.1, 0.75)","(73.1, 17.0)","(60.45, 17.0)","(60.45, 36.85)","(0.0, 38.8)",,,,,,,,,,,,,,,20
6R_3Space Polygon 25,"(0.0, 0.0)","(31.5, 0.0)","(31.5, -3.8)","(32.65, -4.6)","(65.45, -4.6)","(65.45, 39.45)","(-32.75, 42.6)","(-27.65, 28.25)","(-15.0, 28.25)","(-15.0, -29.38)","(-15.0, -72.0)","(-27.65, -71.95)","(-32.75, -86.2)","(65.45, -83.1)","(65.45, -43.65)","(0.0, -43.65)",,,,,,,,,,,,,,,,,,,16
7T_3Floor Polygon,"(465.05, 261.15)","(465.05, 281.0)","(477.7, 281.0)","(477.7, 297.25)","(493.95, 297.25)","(493.95, 373.7)","(477.7, 373.7)","(477.7, 389.95)","(465.05, 389.95)","(465.05, 409.8)","(280.35, 409.8)","(280.35, 389.95)","(267.7, 389.95)","(267.7, 373.7)","(251.5, 373.7)","(251.5, 297.25)","(267.7, 297.25)","(267.7, 281.0)","(280.35, 281.0)","(280.35, 261.15)",,,,,,,,,,,,,,,20
7T_3Space Polygon 1,"(0.0, 0.0)","(19.85, 0.0)","(19.85, -12.65)","(36.1, -12.65)","(36.1, -28.9)","(51.1, -13.9)","(51.1, 2.35)","(34.85, 2.35)","(34.85, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,10
7T_3Space Polygon 2,"(0.0, 0.0)","(76.45, 0.0)","(61.45, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_3Space Polygon 3,"(0.0, 0.0)","(16.25, 0.0)","(16.25, -16.25)","(28.9, -16.25)","(28.9, -36.1)","(43.9, -21.1)","(43.9, -1.25)","(31.25, -1.25)","(31.25, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,10
7T_3Space Polygon 4,"(0.0, 0.0)","(184.7, 0.0)","(169.7, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_3Space Polygon 5,"(0.0, 0.0)","(19.85, 0.0)","(19.85, -12.65)","(36.1, -12.65)","(36.1, -28.85)","(55.15, -28.85)","(55.15, -13.85)","(51.1, -13.85)","(51.1, 2.35)","(34.85, 2.35)","(34.85, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,12
7T_3Space Polygon 6,"(0.0, 0.0)","(16.2, 0.0)","(16.2, -16.25)","(28.85, -16.25)","(28.85, -36.1)","(43.85, -21.1)","(43.85, -1.25)","(31.2, -1.25)","(31.2, 15.0)","(15.0, 15.0)","(15.0, 19.05)","(0.0, 19.05)",,,,,,,,,,,,,,,,,,,,,,,12
7T_3Space Polygon 7,"(0.0, 0.0)","(184.7, 0.0)","(169.7, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_3Space Polygon 8,"(0.0, 0.0)","(19.2, 0.0)","(19.2, 5.4)","(0.0, 5.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_3Space Polygon 9,"(0.0, 0.0)","(5.4, 0.0)","(5.4, 16.55)","(25.1, 16.55)","(25.1, 18.5)","(26.7, 18.5)","(26.7, 19.2)","(0.0, 19.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
7T_3Space Polygon 10,"(0.0, 0.0)","(27.55, 0.0)","(27.55, 19.2)","(21.3, 19.2)","(21.3, 18.5)","(19.7, 18.5)","(19.7, 16.55)","(0.0, 16.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
7T_3Space Polygon 11,"(0.0, 0.0)","(19.7, 0.0)","(19.7, 30.55)","(0.0, 30.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_3Space Polygon 12,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 44.3)","(0.0, 44.3)","(0.0, 19.2)","(-5.25, 19.2)","(-5.6, 19.2)","(-5.6, 11.35)","(0.0, 11.35)",,,,,,,,,,,,,,,,,,,,,,,,,,9
7T_3Space Polygon 13,"(0.0, 0.0)","(16.75, 0.0)","(16.75, 11.35)","(0.0, 11.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_3Space Polygon 14,"(0.0, 0.0)","(11.15, 0.0)","(11.15, 7.85)","(0.0, 7.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_3Space Polygon 15,"(0.0, 0.0)","(5.25, 0.0)","(5.25, 18.55)","(0.0, 18.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_3Space Polygon 16,"(0.0, 0.0)","(11.5, 0.0)","(11.5, 18.55)","(16.75, 18.55)","(16.75, 25.1)","(0.0, 25.1)","(0.0, 19.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
7T_3Space Polygon 17,"(0.0, 0.0)","(32.8, 0.0)","(32.8, 39.05)","(0.0, 39.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_3Space Polygon 18,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_3Space Polygon 19,"(0.0, 0.0)","(11.8, 0.0)","(11.8, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
7T_3Space Polygon 20,"(0.0, 0.0)","(11.0, 0.0)","(11.0, 39.05)","(9.85, 39.85)","(9.85, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
7T_3Space Polygon 21,"(0.0, 0.0)","(60.45, 0.0)","(60.45, 19.85)","(73.1, 19.85)","(73.1, 36.1)","(89.35, 36.1)","(89.35, 82.55)","(73.1, 82.55)","(73.1, 98.8)","(60.45, 98.8)","(60.45, 118.65)","(0.0, 118.65)","(0.0, 81.8)","(23.3, 81.8)","(23.3, 74.6)","(43.0, 74.6)","(43.0, 44.05)","(23.3, 44.05)","(23.3, 37.5)","(0.0, 37.5)",,,,,,,,,,,,,,,20
7T_3Space Polygon 22,"(0.0, 0.0)","(94.25, 0.0)","(94.25, 37.5)","(28.8, 37.5)","(28.8, 81.15)","(60.3, 81.15)","(60.3, 77.35)","(61.45, 76.55)","(94.25, 76.55)","(94.25, 81.8)","(94.25, 118.65)","(0.0, 118.65)","(0.0, 98.8)","(-12.65, 98.8)","(-12.65, 82.55)","(-28.85, 82.55)","(-28.85, 78.5)","(-24.65, 78.5)","(-24.65, 40.15)","(-28.85, 40.15)","(-28.85, 36.1)","(-12.65, 36.1)","(-12.65, 19.85)","(0.0, 19.85)",,,,,,,,,,,24
1R_3Floor Polygon,"(280.35, 261.15)","(465.05, 261.15)","(465.05, 281.0)","(477.7, 281.0)","(477.7, 297.25)","(493.95, 297.25)","(493.95, 373.7)","(477.7, 373.7)","(477.7, 389.95)","(465.05, 389.95)","(465.05, 409.8)","(280.35, 409.8)","(280.35, 389.95)","(281.5, 389.95)","(281.5, 370.55)","(294.15, 370.55)","(294.15, 334.15)","(270.7, 334.15)","(270.7, 354.65)","(251.5, 354.65)","(251.5, 316.3)","(270.7, 316.3)","(270.7, 321.7)","(294.15, 321.7)","(294.15, 300.35)","(281.5, 300.4)","(281.5, 281.0)","(280.35, 281.0)",,,,,,,28
1R_3Space Polygon 1,"(0.0, 0.0)","(184.7, 0.0)","(169.7, 15.0)","(11.07, 9.93)","(9.92, 9.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1R_3Space Polygon 2,"(0.0, 0.0)","(19.85, 0.0)","(19.85, -12.65)","(36.1, -12.65)","(36.1, -28.9)","(51.1, -13.9)","(51.1, 2.35)","(34.85, 2.35)","(34.85, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,10
1R_3Space Polygon 3,"(0.0, 0.0)","(76.45, 0.0)","(61.45, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_3Space Polygon 4,"(0.0, 0.0)","(16.25, 0.0)","(16.25, -16.25)","(28.9, -16.25)","(28.9, -36.1)","(43.9, -21.1)","(43.9, -1.25)","(31.25, -1.25)","(31.25, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,10
1R_3Space Polygon 5,"(0.0, 0.0)","(184.7, 0.0)","(174.78, 9.93)","(173.63, 9.93)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1R_3Space Polygon 6,"(0.0, 0.0)","(19.85, 0.0)","(19.85, 1.15)","(39.25, 1.15)","(39.25, 13.8)","(24.25, 28.8)","(24.25, 16.15)","(9.92, 11.07)","(9.92, 9.92)",,,,,,,,,,,,,,,,,,,,,,,,,,9
1R_3Space Polygon 7,"(0.0, 0.0)","(36.4, 0.0)","(42.63, 6.23)","(42.63, 15.0)","(-15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1R_3Space Polygon 8,"(0.0, 0.0)","(21.35, 0.0)","(36.41, 15.0)","(36.4, 15.0)","(-6.22, 15.0)","(-6.22, 6.23)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1R_3Space Polygon 9,"(0.0, 0.0)","(12.65, 0.0)","(12.57, 19.4)","(13.72, 19.4)","(13.64, 39.25)","(3.76, 29.29)","(2.61, 29.29)","(-2.41, 15.0)","(-15.06, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,9
1R_3Space Polygon 10,"(0.0, 0.0)","(19.7, 0.0)","(19.7, 30.55)","(0.0, 30.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_3Space Polygon 11,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 44.3)","(0.0, 44.3)","(0.0, 19.2)","(-5.25, 19.2)","(-5.6, 19.2)","(-5.6, 11.35)","(0.0, 11.35)",,,,,,,,,,,,,,,,,,,,,,,,,,9
1R_3Space Polygon 12,"(0.0, 0.0)","(5.25, 0.0)","(5.25, 18.55)","(0.0, 18.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_3Space Polygon 13,"(0.0, 0.0)","(11.5, 0.0)","(11.5, 18.55)","(16.75, 18.55)","(16.75, 25.1)","(0.0, 25.1)","(0.0, 19.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1R_3Space Polygon 14,"(0.0, 0.0)","(11.15, 0.0)","(11.15, 7.85)","(0.0, 7.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_3Space Polygon 15,"(0.0, 0.0)","(16.75, 0.0)","(16.75, 11.35)","(0.0, 11.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_3Space Polygon 16,"(0.0, 0.0)","(32.8, 0.0)","(32.8, 44.3)","(32.8, 39.05)","(0.0, 39.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1R_3Space Polygon 17,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_3Space Polygon 18,"(0.0, 0.0)","(11.8, 0.0)","(11.8, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_3Space Polygon 19,"(0.0, 0.0)","(11.0, 0.0)","(11.0, 39.05)","(9.85, 39.85)","(9.85, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1R_3Space Polygon 20,"(0.0, 0.0)","(19.2, 0.0)","(19.2, 5.4)","(0.0, 5.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1R_3Space Polygon 21,"(0.0, 0.0)","(19.2, 0.0)","(19.2, 5.4)","(2.65, 5.4)","(2.65, 25.1)","(0.7, 25.1)","(0.7, 26.7)","(0.0, 26.7)","(0.0, 20.5)",,,,,,,,,,,,,,,,,,,,,,,,,,9
1R_3Space Polygon 22,"(0.0, 0.0)","(6.25, 0.0)","(6.25, 0.7)","(7.85, 0.7)","(7.85, 2.65)","(27.55, 2.65)","(27.55, 19.2)","(0.0, 19.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
1R_3Space Polygon 23,"(0.0, 0.0)","(23.45, 0.0)","(29.7, 6.2)","(29.67, 6.22)","(23.45, 12.45)","(0.0, 12.45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1R_3Space Polygon 24,"(0.0, 0.0)","(23.3, 0.0)","(23.3, -7.2)","(43.0, -7.2)","(43.0, -37.75)","(23.3, -37.75)","(23.3, -44.3)","(0.0, -44.3)","(0.0, -83.75)","(60.45, -81.8)","(60.45, -61.95)","(73.1, -61.95)","(73.1, -45.7)","(89.35, -45.7)","(89.35, 0.75)","(73.1, 0.75)","(73.1, 17.0)","(60.45, 17.0)","(60.45, 36.85)","(0.0, 38.8)",,,,,,,,,,,,,,,20
1R_3Space Polygon 25,"(0.0, 0.0)","(31.5, 0.0)","(31.5, -3.8)","(32.65, -4.6)","(65.45, -4.6)","(65.45, 39.45)","(-32.75, 42.6)","(-27.65, 28.25)","(-15.0, 28.25)","(-15.0, -29.38)","(-15.0, -72.0)","(-27.65, -71.95)","(-32.75, -86.2)","(65.45, -83.1)","(65.45, -43.65)","(0.0, -43.65)",,,,,,,,,,,,,,,,,,,16
1T_3Floor Polygon,"(465.05, 261.15)","(465.05, 281.0)","(477.7, 281.0)","(477.7, 297.25)","(493.95, 297.25)","(493.95, 373.7)","(477.7, 373.7)","(477.7, 389.95)","(465.05, 389.95)","(465.05, 409.8)","(280.35, 409.8)","(280.35, 389.95)","(267.7, 389.95)","(267.7, 373.7)","(251.5, 373.7)","(251.5, 297.25)","(267.7, 297.25)","(267.7, 281.0)","(280.35, 281.0)","(280.35, 261.15)",,,,,,,,,,,,,,,20
1T_3Space Polygon 1,"(0.0, 0.0)","(19.85, 0.0)","(19.85, -12.65)","(36.1, -12.65)","(36.1, -28.9)","(51.1, -13.9)","(51.1, 2.35)","(34.85, 2.35)","(34.85, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,10
1T_3Space Polygon 2,"(0.0, 0.0)","(76.45, 0.0)","(61.45, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_3Space Polygon 3,"(0.0, 0.0)","(16.25, 0.0)","(16.25, -16.25)","(28.9, -16.25)","(28.9, -36.1)","(43.9, -21.1)","(43.9, -1.25)","(31.25, -1.25)","(31.25, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,10
1T_3Space Polygon 4,"(0.0, 0.0)","(184.7, 0.0)","(169.7, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_3Space Polygon 5,"(0.0, 0.0)","(19.85, 0.0)","(19.85, -12.65)","(36.1, -12.65)","(36.1, -28.85)","(55.15, -28.85)","(55.15, -13.85)","(51.1, -13.85)","(51.1, 2.35)","(34.85, 2.35)","(34.85, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,12
1T_3Space Polygon 6,"(0.0, 0.0)","(16.2, 0.0)","(16.2, -16.25)","(28.85, -16.25)","(28.85, -36.1)","(43.85, -21.1)","(43.85, -1.25)","(31.2, -1.25)","(31.2, 15.0)","(15.0, 15.0)","(15.0, 19.05)","(0.0, 19.05)",,,,,,,,,,,,,,,,,,,,,,,12
1T_3Space Polygon 7,"(0.0, 0.0)","(184.7, 0.0)","(169.7, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_3Space Polygon 8,"(0.0, 0.0)","(19.2, 0.0)","(19.2, 5.4)","(0.0, 5.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_3Space Polygon 9,"(0.0, 0.0)","(5.4, 0.0)","(5.4, 16.55)","(25.1, 16.55)","(25.1, 18.5)","(26.7, 18.5)","(26.7, 19.2)","(0.0, 19.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
1T_3Space Polygon 10,"(0.0, 0.0)","(27.55, 0.0)","(27.55, 19.2)","(21.3, 19.2)","(21.3, 18.5)","(19.7, 18.5)","(19.7, 16.55)","(0.0, 16.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
1T_3Space Polygon 11,"(0.0, 0.0)","(19.7, 0.0)","(19.7, 30.55)","(0.0, 30.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_3Space Polygon 12,"(0.0, 0.0)","(6.55, 0.0)","(6.55, 44.3)","(0.0, 44.3)","(0.0, 19.2)","(-5.25, 19.2)","(-5.6, 19.2)","(-5.6, 11.35)","(0.0, 11.35)",,,,,,,,,,,,,,,,,,,,,,,,,,9
1T_3Space Polygon 13,"(0.0, 0.0)","(16.75, 0.0)","(16.75, 11.35)","(0.0, 11.35)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_3Space Polygon 14,"(0.0, 0.0)","(11.15, 0.0)","(11.15, 7.85)","(0.0, 7.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_3Space Polygon 15,"(0.0, 0.0)","(5.25, 0.0)","(5.25, 18.55)","(0.0, 18.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_3Space Polygon 16,"(0.0, 0.0)","(11.5, 0.0)","(11.5, 18.55)","(16.75, 18.55)","(16.75, 25.1)","(0.0, 25.1)","(0.0, 19.85)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1T_3Space Polygon 17,"(0.0, 0.0)","(32.8, 0.0)","(32.8, 39.05)","(0.0, 39.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_3Space Polygon 18,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_3Space Polygon 19,"(0.0, 0.0)","(11.8, 0.0)","(11.8, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_3Space Polygon 20,"(0.0, 0.0)","(11.0, 0.0)","(11.0, 39.05)","(9.85, 39.85)","(9.85, 43.65)","(0.0, 43.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1T_3Space Polygon 21,"(0.0, 0.0)","(60.45, 0.0)","(60.45, 19.85)","(73.1, 19.85)","(73.1, 36.1)","(89.35, 36.1)","(89.35, 82.55)","(73.1, 82.55)","(73.1, 98.8)","(60.45, 98.8)","(60.45, 118.65)","(0.0, 118.65)","(0.0, 81.8)","(23.3, 81.8)","(23.3, 74.6)","(43.0, 74.6)","(43.0, 44.05)","(23.3, 44.05)","(23.3, 37.5)","(0.0, 37.5)",,,,,,,,,,,,,,,20
1T_3Space Polygon 22,"(0.0, 0.0)","(94.25, 0.0)","(94.25, 37.5)","(28.8, 37.5)","(28.8, 81.15)","(60.3, 81.15)","(60.3, 77.35)","(61.45, 76.55)","(94.25, 76.55)","(94.25, 81.8)","(94.25, 118.65)","(0.0, 118.65)","(0.0, 98.8)","(-12.65, 98.8)","(-12.65, 82.55)","(-28.85, 82.55)","(-28.85, 78.5)","(-24.65, 78.5)","(-24.65, 40.15)","(-28.85, 40.15)","(-28.85, 36.1)","(-12.65, 36.1)","(-12.65, 19.85)","(0.0, 19.85)",,,,,,,,,,,24
B1Space Polygon 1 - SMirro,"(0.0, 0.0)","(817.6, -0.0)","(817.6, 197.9)","(0.0, 197.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
B1Space Polygon 2 - SMirro,"(0.0, 0.0)","(232.3, 0.0)","(232.3, 333.1)","(0.0, 333.1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
B1Space Polygon 3 - SMirro,"(0.0, 0.0)","(484.5, 0.0)","(484.5, 232.3)","(-0.0, 232.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
GF_3Space Polygon 1 - SMirro,"(0.0, 0.0)","(55.1, 0.0)","(55.1, 74.15)","(32.8, 74.15)","(32.8, 14.6)","(0.0, 14.6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
