Polygon,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,Total Vertices
1T_1Space Polygon 7,"(0.0, 0.0)","(49.85, 0.0)","(49.85, 6.0)","(66.6, 6.1)","(66.5, 43.05)","(-90.1, 43.4)","(-90.1, -0.3)","(-51.85, 0.0)","(-51.85, -32.5)","(-90.45, -32.3)","(-90.1, -75.2)","(66.5, -75.55)","(66.6, -38.55)","(57.1, -38.55)","(49.85, -38.55)","(49.85, -32.5)","(0.0, -32.5)",,,,,,,,,,,,,,,,,,17
1T_1Space Polygon 8,"(0.0, 0.0)","(30.2, 0.0)","(30.2, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 9,"(0.0, 0.0)","(19.65, 0.0)","(19.65, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 10,"(0.0, 0.0)","(7.25, 0.0)","(7.25, 26.05)","(15.75, 26.05)","(15.75, 35.75)","(7.05, 35.75)","(7.05, 44.55)","(0.0, 44.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,8
1T_1Space Polygon 11,"(0.0, 0.0)","(19.25, 0.0)","(19.0, 26.05)","(0.0, 26.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 12,"(0.0, 0.0)","(9.7, 0.0)","(9.7, 10.5)","(0.0, 10.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 13,"(0.0, 0.0)","(8.8, 0.0)","(8.8, 19.2)","(0.0, 19.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 14,"(0.0, 0.0)","(8.85, 0.0)","(8.85, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 15,"(0.0, 0.0)","(11.8, 0.0)","(11.8, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 16,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 17,"(0.0, 0.0)","(15.75, 0.0)","(15.75, 32.5)","(8.0, 32.2)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1T_1Space Polygon 18,"(0.0, 0.0)","(10.15, 0.0)","(10.15, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 19,"(0.0, 0.0)","(11.5, 0.0)","(11.5, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 20,"(0.0, 0.0)","(8.85, 0.0)","(8.85, 32.5)","(0.0, 32.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 21,"(0.0, 0.0)","(49.85, 0.0)","(49.85, -32.45)","(0.0, -32.5)","(-0.7, -38.55)","(-7.25, -38.55)","(-16.65, -38.55)","(-16.65, -75.55)","(140.2, -75.2)","(139.85, -32.3)","(101.7, -32.5)","(101.7, 0.0)","(140.2, -0.3)","(140.2, 43.4)","(-16.7, 43.05)","(-16.7, 22.84)","(-16.35, 5.95)","(0.0, 6.0)",,,,,,,,,,,,,,,,,18
1T_1Space Polygon 22,"(0.0, 0.0)","(30.2, 0.0)","(30.2, 32.45)","(0.0, 32.45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 23,"(0.0, 0.0)","(0.0, 32.45)","(-19.65, 32.45)","(-19.65, -0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 24,"(0.0, 0.0)","(9.15, 0.0)","(9.15, -26.05)","(15.7, -26.05)","(16.4, -20.0)","(16.4, 18.5)","(9.8, 18.5)","(9.8, 9.7)","(0.0, 9.7)",,,,,,,,,,,,,,,,,,,,,,,,,,9
1T_1Space Polygon 25,"(0.0, 0.0)","(26.05, 0.0)","(26.05, 19.0)","(0.0, 19.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 26,"(0.0, 0.0)","(9.85, 0.0)","(9.85, 9.7)","(0.0, 9.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1T_1Space Polygon 27,"(0.0, 0.0)","(19.65, 0.0)","(19.5, 8.8)","(-0.15, 8.45)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3T_2Floor Polygon,"(291.8, 8.55)","(291.8, 63.3)","(282.95, 63.3)","(283.0, 102.35)","(291.8, 102.35)","(291.85, 157.15)","(20.5, 157.15)","(20.5, 102.35)","(29.35, 102.35)","(29.35, 63.3)","(20.5, 63.3)","(20.5, 8.55)",,,,,,,,,,,,,,,,,,,,,,,12
3T_2Space Polygon 1,"(0.0, 0.0)","(54.75, -0.0)","(54.75, 8.85)","(52.95, 8.85)","(52.95, 24.25)","(39.75, 23.87)","(39.75, 23.85)","(39.75, 15.0)","(15.0, 15.0)",,,,,,,,,,,,,,,,,,,,,,,,,,9
3T_2Space Polygon 2,"(0.0, 0.0)","(54.8, 0.0)","(39.79, 15.0)","(14.99, 15.0)","(2.14, 14.95)","(2.14, 8.8)","(-0.01, 8.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,7
